sehir,tarih,aylik_ortalama_ecopulse
Aksaray,2020-07,45.94
Aksaray,2020-08,46.99
Aksaray,2020-09,47.86
Aksaray,2020-10,51.0
Aksaray,2020-11,53.97
Aksaray,2020-12,56.28
Aksaray,2021-01,57.44
Aksaray,2021-02,53.66
Aksaray,2021-03,51.57
Aksaray,2021-04,56.57
Aksaray,2021-05,47.78
Aksaray,2021-06,51.48
Aksaray,2021-07,48.28
Aksaray,2021-08,45.76
Aksaray,2021-09,50.16
Aksaray,2021-10,52.16
Aksaray,2021-11,54.45
Aksaray,2021-12,58.65
Aksaray,2022-01,55.68
Aksaray,2022-02,61.03
Aksaray,2022-03,55.68
Aksaray,2022-04,53.01
Aksaray,2022-05,52.02
Aksaray,2022-06,48.36
Aksaray,2022-07,46.64
Aksaray,2022-08,48.92
Aksaray,2022-09,50.76
Aksaray,2022-10,51.59
Aksaray,2022-11,54.19
Aksaray,2022-12,56.03
Aksaray,2023-01,54.06
Aksaray,2023-05,51.94
Aksaray,2023-06,45.64
Aksaray,2023-07,44.65
Aksaray,2023-08,45.0
Aksaray,2023-09,48.27
Aksaray,2023-10,49.54
Aksaray,2023-11,55.23
Aksaray,2023-12,54.85
Aksaray,2024-01,54.35
Aksaray,2024-02,56.99
Aksaray,2024-03,53.46
Aksaray,2024-04,53.93
Aksaray,2024-05,57.42
Aksaray,2024-06,45.34
Aksaray,2024-07,50.92
Aksaray,2024-08,44.86
Aksaray,2024-09,50.67
Aksaray,2024-10,49.04
Aksaray,2024-11,51.33
Aksaray,2024-12,59.05
Aksaray,2025-01,56.61
Aksaray,2025-02,62.92
Aksaray,2025-03,52.66
Aksaray,2025-04,50.78
Aksaray,2025-05,47.1
Amasya,2020-01,62.68
Amasya,2020-02,58.44
Amasya,2020-03,59.95
Amasya,2020-04,52.86
Amasya,2020-05,51.52
Amasya,2020-06,51.07
Amasya,2020-07,51.06
Amasya,2020-08,47.99
Amasya,2020-09,49.15
Amasya,2020-10,51.58
Amasya,2020-11,54.88
Amasya,2020-12,53.85
