sehir,tahmin_tarihi,tahmini_ecopulse_skoru
Şanlıurfa,2027-01-15,53.88
Şanlıurfa,2027-04-15,52.81
Şanlıurfa,2027-07-15,43.87
Şanlıurfa,2027-10-15,49.58
Siirt,2027-01-15,58.02
Siirt,2027-04-15,53.01
Siirt,2027-07-15,44.01
Siirt,2027-10-15,49.3
Şırnak,2027-01-15,59.38
Şırnak,2027-04-15,57.01
Şırnak,2027-07-15,45.06
Şırnak,2027-10-15,51.35
Adana,2027-01-15,55.33
Adana,2027-04-15,54.22
Adana,2027-07-15,46.64
Adana,2027-10-15,50.03
Hatay,2027-01-15,54.26
Hatay,2027-04-15,53.8
Hatay,2027-07-15,48.95
Hatay,2027-10-15,48.31
Kahramanmaraş,2027-01-15,59.47
Kahramanmaraş,2027-04-15,58.16
Kahramanmaraş,2027-07-15,47.4
Kahramanmaraş,2027-10-15,50.28
Kastamonu,2027-01-15,58.31
Kastamonu,2027-04-15,51.77
Kastamonu,2027-07-15,49.33
Kastamonu,2027-10-15,52.14
Kilis,2027-01-15,52.19
Kilis,2027-04-15,46.67
Kilis,2027-07-15,39.71
Kilis,2027-10-15,44.4
Kırıkkale,2027-01-15,55.35
Kırıkkale,2027-04-15,47.14
Kırıkkale,2027-07-15,44.35
Kırıkkale,2027-10-15,48.24
Kırşehir,2027-01-15,54.41
Kırşehir,2027-04-15,52.35
Kırşehir,2027-07-15,47.85
Kırşehir,2027-10-15,50.09
Osmaniye,2027-01-15,53.98
Osmaniye,2027-04-15,51.06
Osmaniye,2027-07-15,45.17
Osmaniye,2027-10-15,48.76
Erzincan,2027-01-15,59.57
Erzincan,2027-04-15,57.95
Erzincan,2027-07-15,49.37
Erzincan,2027-10-15,49.95
Kayseri,2027-01-15,59.17
Kayseri,2027-04-15,53.73
Kayseri,2027-07-15,47.15
Kayseri,2027-10-15,49.75
Malatya,2027-01-15,59.31
Malatya,2027-04-15,53.58
Malatya,2027-07-15,45.78
Malatya,2027-10-15,50.2
Bayburt,2027-01-15,60.07
Bayburt,2027-04-15,55.44
Bayburt,2027-07-15,49.71
Bayburt,2027-10-15,50.52
Kars,2027-01-15,63.53
Kars,2027-04-15,61.87
Kars,2027-07-15,54.82
Kars,2027-10-15,55.93
Sivas,2027-01-15,58.47
Sivas,2027-04-15,54.74
Sivas,2027-07-15,48.97
Sivas,2027-10-15,49.85
Tokat,2027-01-15,54.16
Tokat,2027-04-15,49.48
Tokat,2027-07-15,47.76
Tokat,2027-10-15,48.51
Tunceli,2027-01-15,60.72
Tunceli,2027-04-15,59.55
Tunceli,2027-07-15,49.91
Tunceli,2027-10-15,50.37
Yozgat,2027-01-15,56.74
Yozgat,2027-04-15,50.39
Yozgat,2027-07-15,49.57
Yozgat,2027-10-15,48.84
Mersin,2027-01-15,58.47
Mersin,2027-04-15,54.11
Mersin,2027-07-15,48.91
Mersin,2027-10-15,51.38
Amasya,2027-01-15,57.37
Amasya,2027-04-15,48.08
Amasya,2027-07-15,50.45
Amasya,2027-10-15,47.54
Erzurum,2027-01-15,62.71
Erzurum,2027-04-15,36.54
Erzurum,2027-07-15,55.17
Erzurum,2027-10-15,55.87
Giresun,2027-01-15,57.96
Giresun,2027-04-15,55.76
Giresun,2027-07-15,52.97
Giresun,2027-10-15,48.76
Trabzon,2027-01-15,58.36
Trabzon,2027-04-15,56.57
Trabzon,2027-07-15,49.27
Trabzon,2027-10-15,50.34
Aksaray,2027-01-15,54.55
Aksaray,2027-04-15,51.73
Aksaray,2027-07-15,45.57
Aksaray,2027-10-15,48.42
Sinop,2027-01-15,57.64
Sinop,2027-04-15,52.68
Sinop,2027-07-15,50.65
Sinop,2027-10-15,51.77
Karaman,2027-01-15,55.28
Karaman,2027-04-15,49.3
Karaman,2027-07-15,44.89
Karaman,2027-10-15,49.19
Konya,2027-01-15,58.35
Konya,2027-04-15,53.31
Konya,2027-07-15,49.62
Konya,2027-10-15,50.38
Samsun,2027-01-15,58.33
Samsun,2027-04-15,52.67
Samsun,2027-07-15,54.1
Samsun,2027-10-15,50.71
Ardahan,2027-01-15,0.0
Ardahan,2027-04-15,60.19
Ardahan,2027-07-15,56.3
Ardahan,2027-10-15,50.58
Artvin,2027-01-15,61.74
Artvin,2027-04-15,62.95
Artvin,2027-07-15,48.63
Artvin,2027-10-15,52.74
Bitlis,2027-01-15,57.89
Bitlis,2027-04-15,62.07
Bitlis,2027-07-15,47.79
Bitlis,2027-10-15,50.48
Muş,2027-01-15,59.09
Muş,2027-04-15,59.16
Muş,2027-07-15,47.91
Muş,2027-10-15,50.22
Nevşehir,2027-01-15,56.38
Nevşehir,2027-04-15,53.75
Nevşehir,2027-07-15,45.22
Nevşehir,2027-10-15,48.37
Niğde,2027-01-15,55.7
Niğde,2027-04-15,52.15
Niğde,2027-07-15,44.55
Niğde,2027-10-15,47.15
Ordu,2027-01-15,57.96
Ordu,2027-04-15,53.96
Ordu,2027-07-15,55.48
Ordu,2027-10-15,46.98
Van,2027-01-15,64.98
Van,2027-04-15,41.3
Van,2027-07-15,52.22
Van,2027-10-15,54.04
Hakkari,2027-01-15,63.12
Hakkari,2027-04-15,41.93
Hakkari,2027-07-15,48.04
Hakkari,2027-10-15,53.14
Rize,2027-01-15,51.07
Rize,2027-04-15,100.0
Rize,2027-07-15,73.88
Rize,2027-10-15,63.86
